seed,task,round,client,old_gradient_norm,new_gradient_norm,magnitude_ratio,balance_score,retention_weight
1001,1,1,0,0.0,0.0,0.0,0.0,0.0
1001,1,1,1,0.0,0.0,0.0,0.0,0.0
1001,1,1,2,0.0,0.0,0.0,0.0,0.0
1001,1,1,3,0.0,0.0,0.0,0.0,0.0
1001,1,1,4,0.0,0.0,0.0,0.0,0.0
1001,1,2,0,0.0,0.0,0.0,0.0,0.0
1001,1,2,1,0.0,0.0,0.0,0.0,0.0
1001,1,2,2,0.0,0.0,0.0,0.0,0.0
1001,1,2,3,0.0,0.0,0.0,0.0,0.0
1001,1,2,4,0.0,0.0,0.0,0.0,0.0
1001,1,3,0,0.0,0.0,0.0,0.0,0.0
1001,1,3,1,0.0,0.0,0.0,0.0,0.0
1001,1,3,2,0.0,0.0,0.0,0.0,0.0
1001,1,3,3,0.0,0.0,0.0,0.0,0.0
1001,1,3,4,0.0,0.0,0.0,0.0,0.0
1001,2,1,0,2.214260131835017,39.71058947770713,0.05575994113806873,0.9471850190887268,1.4471850190887268
1001,2,1,1,4.812862355505499,43.555961472563794,0.11049836102314131,0.9004966014345502,1.4004966014345501
1001,2,1,2,1.4903793539807564,41.32221398005743,0.03606726770980844,0.9651882953608233,1.4651882953608233
1001,2,1,3,3.3134938684253847,40.454492831689095,0.08190669654940659,0.9242941218400241,1.424294121840024
1001,2,1,4,1.8351811410226608,46.68062736043893,0.039313549212877705,0.9621735430634257,1.4621735430634257
1001,2,2,0,3.441191465571271,16.461029907477744,0.20905079967127901,0.8270951065677495,1.3270951065677496
1001,2,2,1,5.350632931645122,17.15956087705602,0.311816425255912,0.7623017830447272,1.2623017830447272
1001,2,2,2,1.6078276043947959,15.693206442637909,0.10245373437682438,0.9070675428980235,1.4070675428980235
1001,2,2,3,3.061411764193485,15.66583679524229,0.1954196130220787,0.8365263453155899,1.33652634531559
1001,2,2,4,2.97612436266394,20.06227558298653,0.14834430672399115,0.8708189644382537,1.3708189644382536
1001,2,3,0,3.1153723651794163,15.9541864121441,0.19526989874004755,0.8366311249484765,1.3366311249484766
1001,2,3,1,5.692300989469652,17.55066172955806,0.32433540553531404,0.7550957225943301,1.25509572259433
1001,2,3,2,1.979577606905364,15.296353411622254,0.12941500197041345,0.8854141287793263,1.3854141287793262
1001,2,3,3,3.5481447165147424,15.078905150139393,0.2353051949850422,0.8095165502902644,1.3095165502902644
1001,2,3,4,2.679855462884086,21.139957150464188,0.1267673081742796,0.8874946874526116,1.3874946874526115
